"","Sub","Con","Pred","Cat_n","Choice","RT","Conf","Want2See","MotCon"
"1","102","Coop","1",0,0,1.3318,5,1,FALSE
"2","102","Coop","0",45,1,1.924,4,0,FALSE
"3","102","Coop","0",50,0,4.2014,3,0,TRUE
"4","102","Coop","1",55,1,2.1161,3,1,TRUE
"5","102","Coop","1",45,0,1.353,3,1,FALSE
"6","102","Coop","1",40,0,1.8347,3,1,FALSE
"7","102","Coop","0",40,0,1.0196,4,0,TRUE
"8","102","Coop","1",65,1,1.7699,4,1,TRUE
"9","102","Coop","0",35,0,0.8442,4,0,TRUE
"10","102","Coop","1",45,0,1.7339,3,1,FALSE
"11","102","Coop","0",60,1,2.002,3,0,FALSE
"12","102","Coop","1",60,1,3.552,4,1,TRUE
"13","102","Coop","1",45,0,1.3683,3,1,FALSE
"14","102","Coop","1",45,1,2.4501,3,1,TRUE
"15","102","Coop","0",45,1,1.2587,2,0,FALSE
"16","102","Coop","1",50,1,3.7453,3,1,TRUE
"17","102","Coop","0",55,1,1.3783,3,0,FALSE
"18","102","Coop","1",40,0,1.9143,3,1,FALSE
"19","102","Coop","1",60,1,1.9039,4,1,TRUE
"20","102","Coop","1",65,1,1.1048,4,1,TRUE
"21","102","Coop","1",35,0,1.4811,4,1,FALSE
"22","102","Coop","0",55,1,1.0705,3,0,FALSE
"23","102","Coop","0",45,0,1.4685,3,0,TRUE
"24","102","Coop","1",50,1,3.9587,4,1,TRUE
"25","102","Coop","1",35,0,1.1184,3,1,FALSE
"26","102","Coop","0",50,1,3.4639,3,0,FALSE
"27","102","Coop","0",50,1,1.2314,3,0,FALSE
"28","102","Coop","0",55,1,1.1325,4,0,FALSE
"29","102","Coop","0",45,0,3.6074,3,0,TRUE
"30","102","Coop","0",0,0,1.1177,5,0,TRUE
"31","102","Coop","0",50,1,1.4709,3,0,FALSE
"32","102","Coop","0",55,1,0.9579,4,0,FALSE
"33","102","Coop","0",60,1,0.969,4,0,FALSE
