subj_idx,stim,response,rt,condition,want2see
2013,-1,0,2.6441,-1,1
2013,0.5,1,1.0271,-1,0
2013,-1,1,1.874,1,1
2013,0.5,1,1.7157,1,1
2013,1,1,1.7657,-1,0
2013,-0.5,0,1.0657,-1,1
2013,-1,0,2.3054,-1,1
2013,0,1,2.511,1,1
2013,0,1,2.5491,1,1
2013,0,1,0.9607,1,1
2013,-0.5,1,1.9961,-1,0
2013,-0.5,1,1.7428,-1,0
2013,-0.5,0,2.4478,-1,1
2013,0.5,1,2.4915,1,1
2013,-1,0,1.2186,1,0
2013,-0.5,0,2.1123,1,0
2013,1,1,2.1038,1,1
2013,1,1,0.8941,1,1
2013,-1,0,2.8539,1,0
2013,1.5,1,1.7522,-1,0
2013,0.5,1,1.8739,-1,0
2013,0.5,1,2.0379,1,1
2013,-0.5,0,2.3487,1,0
2013,-0.5,1,1.6367,-1,0
2013,1,1,2.8413,-1,0
2013,0.5,1,2.8139,-1,0
2013,-1.5,0,2.2036,-1,1
2013,1,1,1.2733,1,1
2013,0,1,1.9916,1,1
2013,-1.5,0,1.4332,-1,1
2013,0,1,2.2881,-1,0
2013,-5,0,1.0868,-1,1
2013,0,1,3.1512,-1,0
2013,1.5,1,0.9359,1,1
2013,-0.5,0,1.5803,1,0
2013,0,1,2.9051,1,1
2013,0.5,1,3.0385,1,1
2013,-0.5,0,2.0365,1,0
2013,-0.5,0,1.1867,1,0
2013,-1,0,1.3685,-1,0
2013,1,1,1.2295,1,0
2013,0,1,1.2119,-1,1
2013,0,1,1.6867,-1,1
2013,0.5,1,1.0306,1,0
2013,0.5,0,2.6622,1,1
2013,-1.5,0,1.8592,1,1
2013,-0.5,0,2.262,1,1
2013,1,1,2.2014,1,0
2013,-1,0,1.1281,1,1
2013,-1,0,1.6413,-1,0
2013,1,1,1.1367,1,0
2013,1,1,1.2197,-1,1
2013,-0.5,0,1.7036,1,1
2013,0,1,2.4863,-1,1
2013,0,1,2.495,-1,1
2013,-1,0,1.1176,1,1
2013,0,0,2.6105,-1,0
2013,0.5,1,1.398,1,0
2013,-0.5,1,2.3499,-1,1
2013,0,1,2.1741,1,0
2013,-1.5,0,0.9169,-1,0
2013,0.5,1,1.5452,1,0
2013,-0.5,1,1.6744,-1,1
2013,-1,0,2.0111,1,1
2013,0,1,2.6844,-1,1
2013,0,1,1.5538,1,0
2013,-1.5,0,0.8152,-1,0
2013,-1,0,3.0417,-1,0
2013,0,0,1.9863,1,1
2013,-5,0,1.3356,-1,0
2013,0,1,2.4449,-1,1
2013,0.5,0,0.9173,-1,0
2013,0,1,1.9332,1,0
2013,-0.5,1,1.804,1,0
2013,1,1,1.0403,-1,1
2013,1.5,1,0.5882,-1,1
2013,-0.5,0,1.8917,-1,0
2013,1.5,1,1.1041,-1,1
2013,1,1,2.0345,-1,0
2013,-1.5,0,0.6445,-1,1
2013,-0.5,0,1.9029,1,0
2013,1,1,0.9703,1,1
2013,-1,1,1.3708,-1,0
2013,5,1,1.2998,-1,0
2013,5,1,1.9752,1,1
2013,0.5,1,2.8183,-1,0
2013,-1.5,0,2.8406,1,0
2013,0,1,0.9475,-1,0
2013,0.5,1,1.5291,1,1
2013,-5,0,1.0096,1,0
2013,1,1,0.9809,-1,0
2013,-0.5,1,2.6743,1,1
2013,-1.5,0,1.2097,1,0
2013,0,1,1.455,-1,0
2013,-1.5,0,0.8445,1,0
2013,0.5,1,0.9246,-1,0
2013,0,0,2.3667,-1,1
2013,1,1,1.4699,-1,0
2013,0.5,1,0.8585,-1,0
2013,0,1,1.3469,1,1
2013,0,0,3.0899,1,0
2013,-1,0,1.3986,-1,1
2013,0.5,1,1.2387,-1,0
2013,0,1,0.6813,1,1
2013,-0.5,0,1.238,-1,1
2013,1.5,0,1.6809,1,0
2013,-1,0,0.8856,1,0
2013,1.5,1,1.0149,1,1
2013,-1,0,1.5317,-1,1
2013,0,1,1.4891,-1,0
2013,1.5,0,2.5295,-1,1
2013,0.5,1,1.0857,1,1
2013,1.5,1,0.8947,-1,0
2013,0,1,2.4279,-1,0
2013,0,0,2.4584,-1,1
2013,-0.5,0,0.7532,-1,1
2013,1,1,1.9298,1,1
2013,0.5,1,1.0217,1,1
2013,-0.5,0,2.0349,-1,0
2013,1,1,1.1908,1,0
2013,0.5,1,1.2005,-1,1
2013,0.5,1,2.6235,1,0
2013,0.5,1,1.0382,-1,1
2013,0.5,1,2.3371,1,0
2013,-0.5,0,1.4661,-1,0
2013,-1.5,0,0.9196,-1,0
2013,-0.5,0,1.9814,-1,0
2013,-0.5,1,2.623,1,0
2013,-1,0,1.1815,-1,0
2013,5,1,1.0257,-1,1
2013,0.5,1,1.2362,-1,1
2013,1,1,0.8123,-1,1
2013,5,1,1.8222,1,0
2013,0,0,1.5341,-1,0
2013,1.5,1,1.1284,1,0
2013,0,0,1.1225,1,1
2013,-1.5,0,1.0276,1,1
2013,0,1,1.9346,1,0
2013,1,1,0.6903,-1,1
2013,-0.5,1,0.9792,1,0
2013,0,1,2.0769,1,0
2013,1,1,0.8243,1,0
2013,-1,0,0.8645,1,1
2013,1,1,2.3017,-1,1
2013,0.5,1,1.9871,-1,1
2013,-1,0,0.8994,-1,0
2013,1.5,1,2.4128,-1,1
2013,0.5,1,0.8958,1,0
2013,1.5,1,1.4266,1,0
2013,-1,0,1.5783,1,1
2013,-1.5,0,0.973,1,1
2013,-0.5,0,1.9682,1,1
2013,-5,0,0.8026,1,1
2013,-0.5,0,2.2121,1,1
2013,0,1,1.0969,1,0
2013,0.5,0,2.8694,-1,0
2013,1.5,1,1.0764,1,0
2013,0.5,1,0.8443,-1,1
2015,0,1,0.8916,1,1
2015,-1,0,2.8686,-1,1
2015,1.5,1,0.9551,-1,0
2015,-1.5,0,1.8361,1,0
2015,1.5,1,0.7927,1,1
2015,-0.5,1,1.1579,-1,0
2015,-1,0,2.3029,-1,1
2015,-1,0,3.211,1,0
2015,5,1,0.8409,-1,0
2015,0,1,1.119,1,1
2015,-5,0,0.972,-1,1
2015,0.5,1,1.9729,1,1
2015,0,0,2.7704,-1,1
2015,0,1,0.9325,1,1
2015,0.5,1,2.5917,-1,0
2015,1,1,0.8483,1,1
2015,1,1,2.4148,-1,0
2015,0.5,1,1.0112,-1,0
2015,0,1,2.029,1,1
2015,-1.5,0,1.281,-1,1
2015,0.5,1,1.3657,1,1
2015,0,1,3.548,-1,0
2015,5,1,0.808,1,1
2015,1.5,1,0.9235,-1,0
2015,1.5,1,1.1511,1,1
2015,0.5,1,0.7824,-1,0
2015,1.5,1,0.7257,-1,0
2015,0.5,1,1.8988,-1,0
2015,-0.5,1,2.241,1,1
2015,0.5,1,1.1786,-1,0
2015,-1,0,3.2187,1,0
2015,-0.5,0,3.068,1,0
2015,0,1,1.5829,-1,0
2015,1,1,1.1309,-1,0
2015,-0.5,1,2.0248,-1,0
2015,1,1,1.0322,1,1
2015,-1.5,0,1.4835,1,0
2015,0.5,1,1.2144,1,1
2015,1,1,0.763,-1,0
2015,0,1,1.9732,1,0
2015,0,1,1.4846,-1,1
2015,0,1,0.9973,1,0
2015,-1,0,1.5847,-1,0
2015,0.5,1,0.8237,-1,1
2015,0.5,1,0.9725,-1,1
2015,-1,0,2.3889,1,1
2015,1.5,1,1.0307,-1,1
2015,-5,0,1.0333,-1,0
2015,1,1,1.3469,-1,1
2015,0.5,1,0.7076,1,0
2015,5,1,1.3052,1,0
2015,0,1,1.5286,-1,1
2015,0.5,1,1.035,1,0
2015,1,1,0.9465,-1,1
2015,-1,1,1.574,1,0
2015,0,1,2.2679,-1,1
2015,-0.5,0,2.7633,-1,0
2015,0,1,1.2387,-1,1
2015,0.5,1,1.7251,-1,1
2015,1.5,1,0.9784,-1,1
2015,0.5,1,1.0837,-1,1
2015,0,0,1.7128,-1,0
2015,-1,1,2.4605,1,0
2015,0,0,1.7809,1,1
2015,-1.5,0,1.0162,-1,0
2015,5,1,0.7393,-1,1
2015,-0.5,1,1.616,1,0
2015,-1,0,2.9887,-1,0
2015,-1.5,0,0.8536,1,1
2015,-1,0,1.5761,-1,0
2015,0,1,1.6175,1,0
2015,0,1,1.4533,-1,1
2015,-1.5,0,1.2979,1,1
2015,0,1,1.0964,-1,1
2015,0,1,2.5331,1,0
2015,0,1,0.8805,1,0
2015,-0.5,1,1.2214,1,0
2015,0.5,1,1.0614,1,0
2015,-0.5,1,1.2688,1,0
2015,0.5,1,1.3642,1,1
2015,-0.5,1,2.2404,-1,0
2015,0,1,1.9796,-1,0
2015,1,1,0.9852,1,1
2015,0,1,0.8538,1,1
2015,0,1,0.8736,1,1
2015,-0.5,0,2.0971,1,0
2015,-0.5,0,2.3474,-1,1
2015,-5,0,0.7039,1,0
2015,0.5,1,1,-1,0
2015,0.5,1,1.9129,1,1
2015,0,1,1.8165,-1,0
2015,-1,0,1.6364,1,0
2015,-1,0,0.7548,-1,1
2015,-0.5,1,1.2196,1,1
2015,-0.5,0,2.6289,1,0
2015,0.5,1,1.5095,1,1
2015,0.5,1,0.7102,-1,0
2015,-1,0,1.7276,1,0
2015,-0.5,0,2.8486,-1,1
2015,-1,0,1.7796,1,0
2015,-0.5,0,1.6508,1,0
2015,1,1,0.9758,1,1
2015,0,1,0.8538,1,1
2015,-1,0,2.0866,-1,1
2015,-0.5,1,0.7404,-1,0
2015,-0.5,0,1.4819,-1,1
2015,-0.5,1,1.1497,1,1
2015,0,1,0.967,-1,0
2015,1.5,1,0.773,1,1
2015,1,1,1.6272,1,1
2015,-1.5,0,0.9059,-1,1
2015,1,1,0.9046,-1,0
2015,0,1,2.0044,-1,0
2015,1,1,0.8363,-1,0
2015,0,1,1.2658,-1,0
2015,-1.5,0,1.4783,-1,1
2015,0.5,1,0.9318,1,1
2015,-1,0,1.2861,-1,1
2015,-1.5,0,1.5212,1,0
2015,-1,0,1.5158,1,1
2015,1,1,1.3089,-1,1
2015,-0.5,1,2.5624,1,0
2015,1.5,1,0.7685,1,0
2015,0.5,1,1.0339,-1,1
2015,-0.5,0,1.0274,-1,0
2015,-0.5,0,2.6348,-1,0
2015,1,1,0.7841,1,0
2015,0.5,1,1.4422,1,0
2015,-0.5,1,1.4341,1,0
2015,-1,0,2.3499,1,1
2015,-1,0,1.7371,-1,0
2015,0,1,2.5982,1,0
2015,-0.5,0,1.57,-1,0
2015,-0.5,0,2.1134,-1,0
2015,1,1,0.829,1,0
2015,0.5,1,1.179,1,0
2015,1.5,1,0.9272,1,0
2015,-1,0,1.1427,-1,0
2015,0.5,1,1.2205,1,0
2015,1,1,1.2613,-1,1
2015,-1.5,0,1.3203,-1,0
2015,1,1,0.8314,1,0
2015,-5,0,0.7513,1,1
2015,1.5,1,0.8282,1,0
2015,-0.5,0,2.6584,-1,0
2015,1.5,1,0.8378,-1,1
2015,0.5,1,1.0774,-1,1
2015,0.5,1,1.1282,-1,1
2015,-0.5,1,2.1756,1,0
2015,0,1,0.7191,1,0
2015,0.5,1,0.7543,1,0
2015,-1.5,0,2.3658,1,1
2015,-0.5,1,3.6727,1,0
2015,1,1,1.3631,1,0
2015,-0.5,1,1.2168,-1,1
2015,0,0,2.288,-1,0
2015,1,1,0.6835,1,0
2015,-1.5,0,1.1478,-1,0
2015,1,1,0.9083,-1,1
2016,-1,0,2.157,1,0
2016,0,0,1.0888,-1,1
2016,1,1,0.9343,1,1
2016,-1.5,0,1.0401,1,0
2016,5,1,1.0678,1,1
2016,0,1,1.4027,1,1
2016,1,1,1.4235,-1,0
2016,-0.5,1,1.7648,1,1
2016,-1,0,1.5619,1,0
2016,1,1,1.2709,-1,0
2016,-0.5,0,3.1696,-1,1
2016,0,1,0.8263,1,1
2016,1.5,1,1.3433,1,1
2016,0.5,1,1.097,-1,0
2016,0,0,2.3113,-1,1
2016,0.5,1,1.2591,1,1
2016,1.5,1,1.341,-1,0
2016,5,1,1.2711,-1,0
2016,-5,0,1.5638,1,0
2016,-0.5,0,1.4377,-1,1
2016,1,1,1.1079,-1,0
2016,-0.5,1,2.5139,-1,0
2016,-0.5,0,1.4046,1,0
2016,0,1,1.1553,1,1
2016,-0.5,1,1.5308,1,1
2016,1,1,0.9538,1,1
2016,1,1,1.0655,1,1
2016,-1.5,0,1.0684,-1,1
2016,-0.5,1,1.8689,1,1
2016,0.5,1,1.6251,-1,0
2016,-1,0,1.2304,-1,1
2016,1,1,2.0361,-1,0
2016,0.5,1,1.4197,-1,0
2016,-1,0,2.4991,1,0
2016,-1,0,2.3374,1,0
2016,-1.5,0,1.5035,-1,1
2016,-0.5,1,1.2998,1,1
2016,0,1,1.3993,1,1
2016,0,1,1.4124,1,1
2016,-1.5,0,1.3449,1,0
2016,1,1,0.9594,-1,1
2016,0.5,1,1.3168,1,0
2016,-0.5,1,2.8003,1,0
2016,1,1,2.0585,1,0
2016,0,1,0.99,1,0
2016,0.5,1,2.2089,1,0
2016,0.5,1,1.456,1,0
2016,-0.5,0,3.5217,-1,0
2016,-0.5,0,3.0004,-1,0
2016,1,1,0.9394,1,0
2016,0.5,1,2.3193,1,0
2016,-0.5,0,1.0209,-1,0
2016,0,1,2.1287,-1,1
2016,0,1,2.9535,1,0
2016,-0.5,0,2.0271,1,1
2016,1.5,1,1.3565,-1,1
2016,-1.5,0,1.0163,1,1
2016,-1,1,2.582,-1,1
2016,-0.5,0,1.6084,-1,0
2016,1,1,1.4442,-1,1
2016,-0.5,0,1.0732,1,1
2016,0.5,1,1.562,-1,1
2016,1,1,0.8904,1,0
2016,-0.5,0,1.1623,-1,0
2016,-1.5,0,1.5903,-1,0
2016,0.5,1,1.6563,1,0
2016,0,0,2.4601,-1,0
2016,0,0,2.668,1,1
2016,0.5,1,1.2714,1,0
2016,0.5,1,1.1773,-1,1
2016,0,0,2.1165,1,1
2016,-1.5,0,1.6058,-1,0
2016,1,1,1.1112,-1,1
2016,0,0,2.8055,1,1
2016,-1,0,1.0372,1,1
2016,1.5,1,1.0655,-1,1
2016,0.5,1,1.0922,-1,1
2016,1,1,1.7066,1,0
2016,0,0,1.562,-1,0
2016,1.5,1,1.3056,1,0
2016,-0.5,0,1.5539,1,0
2016,-1.5,0,1.9079,-1,1
2016,-1,0,1.1836,-1,1
2016,0.5,1,1.1874,-1,0
2016,0.5,1,1.0859,1,1
2016,0,0,1.2942,-1,1
2016,-0.5,1,2.1553,-1,0
2016,-0.5,1,1.585,-1,0
2016,1,1,1.8161,1,1
