Sub,MotCon,Time,Activity 
2013,1,-4,0.0079
2013,1,-3,-0.1227
2013,1,-2,-0.0612
2013,1,-1,0.0076
2013,1,0,0.0195
2013,1,1,-0.0178
2013,1,2,-0.0604
2013,1,3,-0.0707
2013,1,4,-0.0223
2015,1,-4,-0.1095
2015,1,-3,-0.0805
2015,1,-2,-0.0916
2015,1,-1,-0.0898
2015,1,0,0.2132
2015,1,1,0.1020
2015,1,2,-0.1711
2015,1,3,-0.0082
2015,1,4,0.0741
2016,1,-4,-0.0002
2016,1,-3,-0.0089
2016,1,-2,-0.0328
2016,1,-1,0.1064
2016,1,0,0.2160
2016,1,1,-0.0011
2016,1,2,0.0469
2016,1,3,-0.0238
2016,1,4,-0.0211
2017,1,-4,-0.0371
2017,1,-3,-0.0264
2017,1,-2,-0.1391
2017,1,-1,-0.1481
2017,1,0,0.1121
2017,1,1,0.0430
2017,1,2,-0.0013
2017,1,3,-0.0890
2017,1,4,-0.2234
2018,1,-4,0.0335
2018,1,-3,0.4377
2018,1,-2,0.1493
2018,1,-1,-0.0693
2018,1,0,-0.2460
2018,1,1,-0.2743
2018,1,2,-0.0214
2018,1,3,0.1842
2018,1,4,-0.0234
2019,1,-4,0.1940
2019,1,-3,0.2196
2019,1,-2,0.0625
2019,1,-1,-0.1854
2019,1,0,-0.0427
2019,1,1,0.2092
2019,1,2,0.2402
2019,1,3,0.1150
2019,1,4,-0.1684
2020,1,-4,0.1700
2020,1,-3,0.1713
2020,1,-2,-0.1199
2020,1,-1,-0.1029
2020,1,0,0.2460
2020,1,1,0.3263
2020,1,2,0.3190
2020,1,3,0.1803
2020,1,4,-0.1544
2021,1,-4,0.0672
2021,1,-3,0.1665
2021,1,-2,0.1813
2021,1,-1,0.1488
2021,1,0,0.0542
2021,1,1,-0.0451
2021,1,2,-0.0201
2021,1,3,0.0012
2021,1,4,-0.0760
2022,1,-4,-0.0137
2022,1,-3,-0.0195
2022,1,-2,-0.0500
2022,1,-1,-0.1654
2022,1,0,-0.2512
2022,1,1,-0.1164
2022,1,2,0.0653
2022,1,3,0.0429
2022,1,4,-0.0577
2024,1,-4,0.0471
2024,1,-3,0.0205
2024,1,-2,0.0712
2024,1,-1,-0.1551
2024,1,0,-0.0259
2024,1,1,-0.1050
2024,1,2,-0.0047
2024,1,3,0.0007
2024,1,4,-0.0004
2027,1,-4,-0.1326
2027,1,-3,-0.1545
2027,1,-2,-0.0179
2027,1,-1,0.0926
2027,1,0,0.0177
2027,1,1,-0.0502
