Sub,a,t,drift_bias,z_-1,z_1,z
2013,2.434385826,0.488909083,0.010582696,0.496210621,0.495310133,-0.000900488
2015,2.341698025,0.571445229,0.344518727,0.54600323,0.548683783,0.002680553
2016,2.098637018,0.720764753,0.028992475,0.475433273,0.522410585,0.046977313
2017,2.47018401,0.595135118,0.007141109,0.453060835,0.471673741,0.018612907
2018,2.402508705,0.622234502,0.56787022,0.493202646,0.550218714,0.057016068
2019,2.401072434,0.569889758,0.163078072,0.481270051,0.492918027,0.011647976
2020,2.584202216,0.659392449,0.424769751,0.474970954,0.525549765,0.050578812
2021,2.473439925,0.530555347,0.317586318,0.535941319,0.473121019,-0.0628203
2022,2.613786617,0.894352718,0.317958995,0.520219669,0.457651008,-0.062568661
2024,2.242975395,0.609344412,0.115769857,0.409358596,0.433436764,0.024078169
2027,2.081150106,0.57668054,0.146863033,0.475940384,0.52477663,0.048836245
2028,2.419721385,0.54935555,0.076187515,0.518424473,0.570566093,0.052141621
2029,2.263304739,0.688852155,-0.238468913,0.444739226,0.449337659,0.004598433
2030,2.434932004,0.511479298,0.196707361,0.493318677,0.479506038,-0.013812638
2031,2.096437521,0.514591694,0.052518477,0.514443178,0.553176433,0.038733255
2032,2.678849114,0.532129472,0.072408845,0.427360233,0.463641374,0.036281141
2033,1.797916136,0.493554054,-0.029749817,0.448681154,0.438799842,-0.009881312
2034,2.527993932,0.410866385,1.187512251,0.458668329,0.48727966,0.028611331
2035,2.502515986,0.553617376,-0.096768876,0.410063455,0.449087161,0.039023706
2036,2.428887084,0.618441924,0.247453337,0.41248048,0.530170997,0.117690518
2038,2.362037235,0.357670739,1.017786964,0.416805804,0.459097305,0.042291502
2039,2.098991788,0.475206906,0.236403137,0.50586133,0.445145469,-0.060715861
2040,2.53093096,0.611300817,-0.05992354,0.522752385,0.579448199,0.056695814
2041,2.405362708,0.645716943,-0.37868956,0.474433205,0.51350514,0.039071934
2042,2.425702931,0.702702086,-0.251767411,0.465358023,0.517121927,0.051763904
2043,2.363557215,0.629871203,-0.031885716,0.466845966,0.451546962,-0.015299005
2044,2.304799649,0.49506837,0.314792877,0.449470256,0.516741785,0.067271529
2045,2.291520988,0.542549864,0.098297199,0.410668765,0.450004357,0.039335592
2046,2.792010169,0.035276583,0.10921549,0.547238582,0.487366022,-0.05987256
2047,2.435863385,0.23415986,0.734112829,0.428840502,0.507958867,0.079118365
