,SimpleFull,SimpleBias,SimpleDrift,SimpleNull
1,14259.59311,14255.66882,14321.1942,14333.38007
2,14793.83143,14797.78111,14853.08887,14898.66371
3,14311.40962,14306.93703,14376.96792,14408.92836
4,14084.95824,14084.51974,14162.56388,14183.53245
5,14078.51798,14076.28656,14167.33511,14178.75475
6,14077.83887,14076.06274,14135.01024,14169.36573
7,14607.98381,14606.62487,14667.23113,14710.51281
8,14563.94886,14559.34341,14626.07195,14656.77007
9,14377.67007,14371.33891,14417.56783,14469.14144
10,14035.94102,14033.59333,14075.13021,14107.58914
11,14421.87994,14422.71829,14525.55185,14557.68632
12,14137.08327,14134.6427,14205.19728,14237.2336
13,14663.74635,14656.14675,14737.30609,14750.51049
14,14243.80057,14240.69816,14302.85857,14309.06739
15,14380.39779,14370.55972,14446.36331,14484.29767
16,14491.09216,14492.89137,14550.8949,14607.94847
17,14983.63049,14983.60363,15060.51268,15081.40871
18,14354.67723,14351.71281,14435.25761,14453.04154
19,14691.18379,14695.03636,14732.37802,14754.55326
20,14336.86086,14339.07346,14406.36868,14445.71392
21,14464.34347,14464.97083,14503.25454,14545.72872
22,14642.1749,14643.27415,14723.90014,14746.66522
23,14437.69586,14433.45426,14512.29541,14518.70593
24,13861.43778,13856.94992,13935.46185,13957.79562
25,14259.03297,14253.07999,14323.4012,14350.77637
26,14142.71701,14137.42452,14202.63131,14221.85225
27,14467.24119,14461.65206,14547.22112,14578.45821
28,14518.43752,14516.1442,14583.84011,14602.65925
29,14203.85666,14205.081,14244.21478,14269.63126
30,14205.16609,14209.4715,14281.25278,14319.61019
31,14605.56756,14597.18068,14656.2975,14670.6062
32,14124.91318,14124.97603,14215.61097,14228.09472
33,14662.30505,14662.67377,14708.79081,14736.50047
34,14336.05088,14334.33824,14387.03801,14389.06611
35,14289.1637,14290.14817,14357.3485,14382.39158
36,14378.47371,14377.99072,14474.26398,14509.47348
37,14912.05037,14907.64059,14994.8989,15023.21821
38,14705.46231,14701.19842,14749.51003,14778.73495
39,14532.90767,14524.9219,14631.12663,14654.7617
40,14129.74242,14126.33783,14188.58604,14220.67048
41,14059.46065,14059.38221,14120.23326,14173.11257
42,14654.2037,14650.96975,14734.24479,14767.05952
43,14295.95452,14291.2567,14392.94568,14421.07819
44,14054.47531,14054.52971,14112.83463,14133.32047
45,14166.41362,14164.91217,14217.41616,14253.8726
46,14147.56696,14145.14512,14213.33495,14252.26176
47,14786.77719,14780.84331,14829.38097,14858.69712
48,14391.09252,14387.90867,14496.12751,14520.65147
49,14535.61686,14530.6959,14581.93883,14595.07943
50,14028.67574,14027.65912,14095.59102,14124.6352
51,14613.56068,14610.58793,14677.99995,14694.14196
52,14261.73129,14257.40315,14329.82375,14345.3704
53,14530.16467,14525.11987,14619.39417,14669.06304
54,13953.87741,13951.03642,14008.06522,14032.93203
55,14506.60281,14504.23291,14562.33685,14592.70948
56,14544.56564,14538.69772,14595.87541,14618.32481
57,15009.95705,15003.02384,15080.27661,15092.38599
58,14567.07146,14565.06428,14660.61242,14691.68574
59,14574.37278,14573.90023,14629.85253,14659.21497
60,14207.59278,14203.3283,14287.88506,14309.53506
61,14321.0429,14315.59521,14399.44708,14410.47856
62,14659.77353,14656.88044,14716.59546,14738.00654
63,14344.32356,14335.13598,14409.24616,14436.24782
64,13988.25618,13985.51429,14056.71615,14088.82268
65,14023.31388,14021.71337,14076.54654,14116.62344
66,14420.85597,14418.3792,14543.87776,14590.60992
67,14500.98113,14500.02958,14567.89896,14593.06369
68,14422.37249,14418.39629,14478.84174,14501.5462
69,14644.62646,14640.12817,14710.82171,14727.37598
70,14239.16607,14236.73462,14278.03645,14306.27997
71,14703.52983,14704.63594,14760.6603,14770.71364
72,14304.57078,14300.48191,14388.78511,14413.46049
73,14714.56228,14712.28502,14796.45302,14811.27041
74,14073.24246,14069.52486,14164.21262,14195.34521
75,14374.53183,14373.84238,14443.15722,14492.93781
76,14623.2416,14625.0905,14702.78683,14716.76288
77,14994.76985,15001.79765,15086.11579,15097.27013
78,14487.77939,14486.40965,14565.65693,14597.81409
79,14637.82446,14636.46186,14714.79819,14726.23477
80,14329.29585,14323.70357,14373.57719,14382.27696
81,14493.99501,14489.8476,14570.48454,14587.74459
82,14892.21929,14887.97708,14966.12148,15005.07713
83,14380.9134,14379.76983,14470.33856,14485.03943
84,13873.43262,13868.85121,13928.32654,13942.8849
85,14144.89332,14140.82492,14201.31594,14222.01965
86,14008.54217,14004.51652,14092.55536,14109.9242
87,14560.95339,14561.89573,14654.9994,14677.46874
88,14563.91266,14559.68145,14588.45332,14602.97748
89,14325.85639,14326.13319,14418.36981,14439.38329
90,13908.87614,13907.44373,13977.04164,13993.90773
91,14520.17226,14519.77922,14593.03746,14625.41934
92,14323.859,14321.53318,14407.27946,14420.44595
93,14484.98935,14482.96404,14544.08281,14559.95334
94,14228.78539,14230.54921,14288.22904,14334.02118
95,14546.40874,14544.60672,14596.39002,14625.25003
96,14237.01724,14239.91919,14332.41906,14366.55851
97,14996.53073,14993.50889,15067.26693,15099.10887
98,14503.98353,14503.58277,14605.37474,14619.84446
99,14481.05716,14477.39805,14571.36632,14589.53798
100,14357.67142,14353.05577,14449.1342,14457.93342
