subj_idx,stim,response,rt,condition
2013,0,0,-3.3387,-1
2013,0,1,3.2278,1
2013,-1.5,0,-1.4316,1
2013,0.5,1,1.1579,-1
2013,1.5,1,1.2911,-1
2013,-1,0,-2.3213,1
2013,1,1,0.9121,1
2013,-1.5,0,-1.0343,-1
2013,-1.5,0,-0.84264,1
2013,-0.5,0,-2.676,-1
2013,0.5,1,0.95211,-1
2013,-0.5,1,1.4642,-1
2013,-0.5,0,-3.9158,1
2013,0,1,1.2442,-1
2013,1,1,1.35,-1
2013,1,1,1.062,1
2013,-1,1,2.5775,1
2013,-0.5,0,-1.1232,-1
2013,0.5,0,-4.3506,1
2013,-0.5,0,-2.1991,-1
2013,0.5,1,1.1774,1
2013,0,0,-1.2179,-1
2013,0,0,-1.5433,1
2013,0,1,0.65418,1
2013,-0.5,1,1.9227,1
2013,-1.5,1,1.2777,-1
2013,-1.5,0,-1.0127,1
2013,1.5,1,1.3377,-1
2013,1,1,2.6775,-1
2013,-1,0,-2.2497,-1
2013,0,1,1.8699,-1
2013,-0.5,1,0.75855,-1
2013,5,1,0.66051,1
2013,1.5,1,1.6195,-1
2013,-1.5,0,-1.0306,1
2013,1,1,1.0081,-1
2013,0,0,-2.1628,-1
2013,0,1,1.1279,-1
2013,-1,1,2.0669,-1
2013,-1,1,1.849,-1
2013,1.5,1,0.95636,1
2013,-1,0,-3.0312,1
2013,0,0,-1.6599,1
2013,0,0,-0.94388,-1
2013,-0.5,0,-0.85638,1
2013,-1,1,1.7865,1
2013,5,1,0.67163,1
2013,-1,1,1.4567,-1
2013,-1.5,0,-1.4745,-1
2013,-0.5,1,0.82007,1
2013,1,1,0.93009,-1
2013,-0.5,0,-1.5,-1
2013,0.5,0,-0.90061,-1
2013,1.5,1,2.6279,1
2013,1,1,4.3077,-1
2013,1,0,-1.1436,1
2013,-0.5,0,-1.4662,-1
2013,0.5,0,-1.1717,-1
2013,-1,0,-1.3287,-1
2013,0,1,1.622,1
2013,-0.5,0,-1.2648,1
2013,-1,0,-0.97987,1
2013,1,1,2.2838,-1
2013,0,1,1.3526,1
2013,-0.5,0,-1.4375,-1
2013,-5,0,-0.79084,1
2013,0.5,1,1.4981,-1
2013,-0.5,0,-2.0286,1
2013,0,1,1.0849,1
2013,0.5,1,0.89409,-1
2013,-0.5,0,-1.0075,-1
2013,-1.5,0,-1.3563,1
2013,-1,0,-3.4522,1
2013,0.5,1,1.0136,1
2013,0,0,-3.0085,-1
2013,0,1,4.9404,-1
2013,0.5,1,1.484,-1
2013,1.5,1,0.68137,1
2013,1,1,4.7665,1
2013,0,1,3.364,-1
2013,0,0,-3.4686,1
2013,-1.5,0,-0.91682,1
2013,0.5,0,-2.5445,-1
2013,1.5,1,3.0609,-1
2013,-1,0,-1.7413,1
2013,1,0,-0.75382,1
2013,-1.5,1,2.8859,-1
2013,-1.5,0,-1.1545,1
2013,-0.5,1,2.263,-1
2013,0.5,1,1.2918,-1
2013,-0.5,1,0.92123,-1
2013,-0.5,0,-0.76527,1
2013,0,0,-3.4682,-1
2013,1,1,4.3035,-1
2013,1,1,3.6509,1
2013,-1,0,-1.451,1
2013,-0.5,0,-1.153,-1
2013,0.5,1,1.0123,1
2013,-0.5,0,-0.91892,-1
2013,0.5,1,2.4814,1
2013,0,0,-2.5455,-1
2013,0,1,1.0051,1
2013,0,1,1.3737,1
2013,-0.5,1,2.222,1
2013,-1.5,0,-0.98844,-1
2013,-1.5,0,-0.67578,1
2013,1.5,1,1.9221,-1
2013,1,1,0.98393,-1
2013,-1,0,-2.7635,-1
2013,0,1,2.4625,-1
2013,-0.5,0,-1.6101,-1
2013,5,1,0.77748,1
2013,1.5,1,0.62419,-1
2013,-1.5,1,2.207,1
2013,1,1,1.2133,-1
2013,0,1,5.3368,-1
2013,0,1,1.3628,-1
2013,-1,0,-6.3633,-1
2013,-1,0,-2.0003,-1
2013,1.5,1,1.4037,1
2013,-1,1,2.0191,1
2013,0,1,0.71253,1
2013,0,1,1.1828,-1
2013,-0.5,1,1.1655,1
2013,-1,0,-2.4553,1
2013,5,1,0.81472,1
2013,-1,0,-0.9938,-1
2013,-1.5,0,-1.9845,-1
2013,-0.5,0,-4.1879,1
