subj_idx,stim,response,rt,condition
2013,0,1,0.73079,-1
2013,0,1,1.6083,-1
2013,0.5,1,1.5097,-1
2013,1.5,1,2.0712,1
2013,1,1,2.7739,1
2013,0,1,4.6087,-1
2013,0,1,3.0152,1
2013,-1.5,0,-2.5046,1
2013,0.5,1,1.139,-1
2013,1.5,1,0.85999,-1
2013,-1,0,-2.4805,1
2013,1,1,1.1977,1
2013,-1.5,1,0.70793,-1
2013,-1.5,0,-1.9293,1
2013,-0.5,1,1.8994,-1
2013,0.5,1,0.84958,-1
2013,-0.5,0,-2.8906,-1
2013,-0.5,0,-1.5472,1
2013,0,1,2.5765,-1
2013,1,1,0.71158,-1
2013,1,1,1.865,1
2013,-1,0,-0.7457,1
2013,-0.5,0,-0.90856,-1
2013,0.5,0,-1.9329,1
2013,-0.5,1,1.1381,-1
2013,0.5,1,1.0154,1
2013,0,0,-1.5438,-1
2013,0,1,1.0148,1
2013,0,0,-5.2909,1
2013,-0.5,0,-1.1619,1
2013,-1.5,0,-2.9748,-1
2013,-1.5,0,-1.1104,1
2013,1.5,1,1.1404,-1
2013,1,1,2.8117,-1
2013,-1,1,1.1093,-1
2013,0,0,-2.6786,-1
2013,-0.5,0,-0.87706,-1
2013,5,1,0.80036,1
2013,1.5,1,1.0479,-1
2013,-1.5,0,-2.0757,1
2013,1,1,1.1582,-1
2013,0,0,-0.88199,-1
2013,0,1,1.1537,-1
2013,-1,0,-3.1346,-1
2013,-1,0,-1.9381,-1
2013,1.5,1,0.91945,1
2013,-1,1,2.4861,1
2013,0,0,-1.6443,1
2013,0,1,4.0268,-1
2013,-0.5,0,-2.9338,1
2013,-1,0,-1.5403,1
2013,5,1,0.78004,1
2013,-1,1,1.0707,-1
2013,-1.5,0,-1.0896,-1
2013,-0.5,0,-2.0256,1
2013,1,1,1.157,-1
2013,-0.5,0,-0.71147,-1
2013,0.5,1,0.98816,-1
2013,1.5,1,1.6691,1
2013,1,0,-1.0142,-1
2013,1,0,-1.3058,1
2013,-0.5,0,-0.7142,-1
2013,0.5,1,0.96467,-1
2013,-1,0,-1.561,-1
2013,0,0,-4.5777,1
2013,-0.5,0,-5.1386,1
2013,-1,0,-0.89108,1
2013,1,1,0.86217,-1
2013,0,0,-1.1568,1
2013,-0.5,0,-1.5908,-1
2013,-5,0,-0.95234,1
2013,0.5,0,-1.5111,-1
2013,-0.5,1,3.6781,1
2013,0,1,0.93437,1
2013,0.5,0,-0.80666,-1
2013,-0.5,1,1.852,-1
2013,-1.5,0,-0.89587,1
2013,-1,0,-2.6265,1
2013,0.5,1,1.1114,1
2013,0,1,2.094,-1
2013,0,0,-5.0209,-1
2013,0.5,1,1.1618,-1
2013,1.5,1,0.88129,1
2013,1,1,1.1751,1
2013,0,1,1.5521,-1
2013,0,0,-2.4236,1
2013,-1.5,0,-2.2015,1
2013,0.5,1,1.8426,-1
2013,1.5,1,2.3071,-1
2013,-1,1,1.3986,1
2013,1,1,1.771,1
2013,-1.5,0,-0.97219,-1
2013,-1.5,0,-2.1631,1
2013,-0.5,1,2.3069,-1
2013,0.5,1,1.6865,-1
2013,-0.5,0,-1.0046,-1
2013,-0.5,1,0.8454,1
2013,0,0,-2.1583,-1
2013,1,1,2.0795,-1
2013,1,0,-1.8298,1
2013,-1,0,-2.2086,1
2013,-0.5,0,-2.1879,-1
2013,0.5,1,0.65762,1
2013,-0.5,1,3.1465,-1
2013,0.5,1,1.0173,1
2013,0,1,1.9486,-1
2013,0,0,-0.97616,1
2013,0,1,0.79187,1
2013,-0.5,1,1.476,1
2013,-1.5,1,1.6936,-1
2013,-1.5,0,-3.0125,1
2013,1.5,0,-2.3153,-1
2013,1,1,1.908,-1
2013,-1,1,2.0142,-1
2013,0,1,2.7951,-1
2013,-0.5,0,-1.2065,-1
2013,5,1,0.87243,1
2013,1.5,1,0.79111,-1
2013,-1.5,1,1.416,1
2013,1,1,2.1606,-1
2013,0,1,1.6645,-1
2013,0,0,-2.856,-1
2013,-1,1,0.89394,-1
2013,-1,0,-1.5629,-1
2013,1.5,1,2.2381,1
2013,-1,0,-1.4851,1
2013,0,1,2.0881,1
2013,0,1,1.3781,-1
2013,-0.5,1,1.887,1
2013,-1,0,-0.83473,1
2013,5,1,0.74548,1
2013,-1,0,-2.2893,-1
2013,-1.5,0,-0.91153,-1
2013,-0.5,1,2.3495,1
2013,1,0,-2.8637,-1
2013,-0.5,0,-0.82725,-1
2013,0.5,1,2.3754,-1
2013,1.5,0,-1.8456,1
2013,1,1,0.9354,-1
2013,1,0,-4.1274,1
2013,-0.5,0,-0.9063,-1
2013,0.5,1,0.76542,-1
2013,-1,0,-0.94191,-1
2013,0,1,1.0032,1
2013,-0.5,0,-1.7102,1
2013,-1,1,1.0062,1
2013,1,1,2.9537,-1
2013,0,1,1.0216,1
2013,-0.5,0,-0.98865,-1
2013,-5,0,-0.80531,1
2013,0.5,1,1.0916,-1
2013,-0.5,1,1.4834,1
2013,0,0,-1.2598,1
2013,0.5,0,-1.7541,-1
2013,-0.5,1,1.8818,-1
2013,-1.5,0,-1.408,1
2013,-1,0,-2.5381,1
2013,0.5,1,1.0469,1
2015,0,0,-3.7793,1
2015,-0.5,1,0.97535,1
2015,0.5,1,0.8834,1
2015,1,1,0.68046,-1
2015,-1.5,0,-1.4361,1
2015,1.5,1,2.0323,-1
2015,0.5,1,0.74968,1
2015,-1.5,0,-1.1406,1
2015,0.5,1,1.3118,1
2015,-1.5,0,-0.8803,1
2015,1,1,1.1217,1
2015,-0.5,0,-0.91385,-1
2015,-0.5,1,0.9534,1
2015,0,1,0.85719,-1
2015,0,1,2.0272,1
2015,-1,1,0.80386,1
2015,1,1,1.3974,-1
2015,1.5,1,0.78928,1
2015,-1,0,-1.2033,1
2015,-1,0,-3.4501,1
2015,1,1,1.9141,-1
2015,-0.5,1,1.4789,1
2015,-1,1,2.0305,1
2015,1.5,1,1.279,1
2015,1.5,1,0.82543,-1
2015,0,1,1.9661,1
2015,0,1,3.5001,-1
2015,0,1,1.2045,-1
2015,-0.5,0,-4.8618,1
2015,1,1,1.3964,1
2015,-0.5,1,2.6692,-1
2015,0.5,1,1.045,-1
2015,0.5,1,1.87,1
2015,-0.5,1,1.6385,-1
2015,0,1,2.4107,-1
2015,-0.5,1,2.7658,-1
2015,-1,0,-1.531,-1
2015,1,1,0.85804,1
2015,0,1,2.9298,1
2015,0,1,1.667,1
2015,-1.5,0,-2.3922,1
2015,1.5,1,1.6151,-1
2015,1,1,1.2091,1
2015,-0.5,0,-2.2932,-1
