,SimpleFull,SimpleBias,SimpleDrift,SimpleNull
1,14046.93835,14178.6208,14042.41862,14265.40305
2,14575.41469,14677.95352,14584.23057,14758.05003
3,14305.73264,14411.7945,14319.78175,14528.60156
4,13871.7406,13947.54961,13876.40975,14024.22761
5,13834.10232,13874.57324,13841.73899,13949.19128
6,14271.04374,14371.20059,14272.17284,14437.89358
7,14177.55513,14259.86606,14195.27286,14374.44862
8,14344.37098,14433.69551,14349.39188,14535.86435
9,14481.98903,14562.8957,14481.04151,14614.77375
10,13883.60505,13998.27352,13883.88698,14084.87541
11,14774.92913,14859.94996,14791.51674,14950.32905
12,14168.04446,14254.02677,14181.38064,14346.09029
13,14556.36323,14645.41721,14562.0959,14717.12455
14,14036.37618,14160.25404,14033.11428,14261.65103
15,14238.98784,14347.35693,14253.17115,14438.07555
16,14352.79986,14445.4906,14360.05834,14534.37107
17,14916.3043,15030.67076,14917.94479,15100.42444
18,14495.11847,14582.04563,14506.26332,14641.9729
19,14239.86602,14299.90118,14250.60859,14393.52885
20,14063.43314,14122.83599,14081.84482,14229.47406
21,14108.32228,14215.15507,14107.96128,14277.9195
22,14613.50025,14716.47413,14621.67923,14819.96667
23,14217.85532,14338.28215,14223.62133,14444.88879
24,13825.94922,13955.61324,13835.65695,14045.9628
25,13936.32032,14007.39928,13950.72477,14132.12737
26,13979.48671,14015.56545,13982.62286,14070.87558
27,14133.03883,14239.26272,14134.29798,14328.32029
28,14397.38537,14479.24477,14406.06325,14566.14754
29,14307.28258,14396.9897,14302.06939,14469.95312
30,13905.58997,14046.12469,13911.78297,14143.40217
31,14234.91075,14311.31828,14246.95913,14403.03787
32,14043.07952,14155.80212,14039.51732,14223.93595
33,14244.92899,14317.87433,14253.6077,14419.09636
34,14116.67439,14211.01182,14115.09544,14284.72627
35,14405.06047,14532.15736,14409.02461,14635.12661
36,14200.30016,14317.85405,14197.22306,14386.06483
37,14775.10704,14880.72469,14778.01991,14964.37955
38,14364.87904,14454.00475,14383.20649,14558.93724
39,14326.74029,14432.04912,14351.10689,14539.92881
40,13997.31783,14074.49395,14006.10119,14149.57819
41,14152.40511,14249.26795,14157.94961,14333.72316
42,14301.76691,14395.57015,14306.9189,14509.4133
43,14407.88143,14453.64373,14422.65396,14562.58628
44,13883.95404,13977.88672,13896.78441,14069.09255
45,13781.30075,13840.23567,13791.3108,13935.61271
46,13993.05237,14054.9925,14012.83217,14138.13315
47,14224.03153,14336.02855,14235.95382,14395.76011
48,14257.02615,14331.10406,14267.34413,14436.81243
49,14651.74924,14737.95371,14653.0173,14803.12086
50,14137.24792,14235.37467,14132.15178,14311.09097
51,14246.35502,14330.95994,14246.66036,14384.67197
52,13775.32872,13824.01365,13788.20225,13912.11211
53,14506.34235,14583.22374,14503.99967,14622.97652
54,14096.49715,14154.73899,14117.60815,14271.08639
55,14122.98068,14181.70187,14125.98759,14289.71778
56,14455.25132,14552.0997,14455.35256,14621.11429
57,14886.16409,14998.96429,14904.53129,15116.59028
58,14315.22044,14422.39555,14319.55047,14484.17304
59,14430.16598,14476.37482,14446.67037,14562.97831
60,13963.94359,14076.692,13982.56901,14194.10191
61,14103.77277,14282.83828,14101.22016,14374.94641
62,14759.24724,14836.34546,14770.18497,14956.95708
63,14059.52982,14140.34638,14075.86858,14239.21037
64,13727.69527,13836.80693,13738.58883,13934.78145
65,14094.30044,14179.90012,14094.10432,14281.50773
66,14168.98658,14220.67934,14185.76383,14300.0319
67,14372.22387,14462.77606,14384.86257,14563.09716
68,14503.11508,14597.75805,14520.76166,14701.0404
69,14309.49569,14393.2208,14333.06019,14506.86807
70,13847.52615,13944.90802,13852.53412,14041.66042
71,14334.33259,14435.59293,14332.02831,14470.89546
72,14072.38575,14154.25938,14078.79492,14243.41591
73,14199.26633,14265.85674,14207.45516,14333.71816
74,14026.06551,14129.07323,14029.85923,14210.37084
75,14166.4885,14231.53346,14188.36866,14353.59666
76,14519.1424,14582.34972,14539.76403,14677.90125
77,14650.79878,14742.23122,14673.09539,14828.77005
78,14152.80693,14235.63718,14154.82398,14284.00163
79,14409.9412,14509.94134,14433.95814,14604.9776
80,14001.51327,14076.91359,14027.00507,14151.39954
81,14301.54541,14411.54739,14301.71778,14499.66129
82,14644.13815,14739.81548,14644.54192,14775.44609
83,14120.54656,14191.89697,14128.39322,14288.37229
84,13892.46396,13962.66809,13904.64412,14038.65221
85,14040.92435,14126.28875,14037.39077,14206.55479
86,13885.38292,13952.58864,13896.9959,14027.9364
87,14229.41867,14316.30914,14227.55929,14440.98136
88,14476.68247,14578.40075,14481.4537,14657.13736
89,14385.20011,14467.03563,14386.38347,14516.59048
90,13831.43511,13950.95838,13831.51273,14022.63631
91,14268.2777,14385.20769,14271.13161,14464.66444
92,14280.372,14350.81706,14283.41476,14423.47215
93,14494.76767,14590.92202,14506.38987,14680.89005
94,14086.28918,14195.33532,14089.38137,14300.97021
95,14087.04704,14196.82555,14092.63772,14295.23616
96,14262.99017,14355.66087,14273.43403,14430.48551
97,14474.99993,14563.46037,14488.97395,14670.62732
98,14529.97742,14641.61638,14528.46182,14692.45426
99,14610.35444,14667.13756,14620.399,14742.42158
100,14278.36232,14347.38642,14281.44269,14429.10954
