subj_idx,stim,response,rt,condition
2013,1,1,1.461,1
2013,-0.5,0,-1.0192,-1
2013,0.5,1,1.9464,-1
2013,-1,0,-1.0168,-1
2013,0,1,1.8787,1
2013,-0.5,0,-2.4234,1
2013,-1,1,2.0617,1
2013,1,1,0.71753,-1
2013,0,0,-2.3859,1
2013,-0.5,1,1.8856,-1
2013,-5,0,-1.7199,1
2013,0.5,0,-2.9491,-1
2013,-0.5,0,-2.4922,1
2013,0,1,1.477,1
2013,0.5,1,0.64501,-1
2013,-0.5,0,-1.0887,-1
2013,-1.5,0,-2.4154,1
2013,-1,0,-1.3901,1
2013,0.5,1,1.1532,1
2013,0,0,-1.7545,-1
2013,0,0,-3.3358,-1
2013,0.5,1,0.74698,-1
2013,1.5,1,1.0607,1
2013,1,1,1.6863,1
2013,0,1,2.4338,-1
2013,0,0,-7.8545,1
2013,-1.5,1,1.3558,1
2013,0.5,1,1.1134,-1
2013,1.5,1,2.5641,-1
2013,-1,0,-0.72787,1
2013,1,1,1.2868,1
2013,-1.5,0,-1.4912,-1
2013,-1.5,0,-1.6859,1
2013,-0.5,0,-3.9818,-1
2013,0.5,0,-1.5661,-1
2013,-0.5,1,1.5348,-1
2013,-0.5,1,0.94496,1
2013,0,1,0.85427,-1
2013,1,1,1.1767,-1
2013,1,1,1.5181,1
2013,-1,0,-1.3077,1
2013,-0.5,1,3.1741,-1
2013,0.5,1,1.0166,1
2013,-0.5,0,-2.4313,-1
2013,0.5,1,0.84955,1
2013,0,1,2.1222,-1
2013,0,0,-1.2515,1
2013,0,1,1.1156,1
2013,-0.5,0,-1.4058,1
2013,-1.5,0,-1.4749,-1
2013,-1.5,0,-0.65161,1
2013,1.5,1,0.74331,-1
2013,1,1,2.508,-1
2013,-1,0,-1.4984,-1
2013,0,1,0.98592,-1
2013,-0.5,0,-3.7057,-1
2013,5,1,0.89367,1
2013,1.5,1,0.88104,-1
2013,-1.5,0,-1.411,1
2013,1,1,1.0737,-1
2013,0,1,1.0038,-1
2013,0,1,0.89347,-1
2013,-1,0,-2.4113,-1
2013,-1,0,-1.0582,-1
2013,1.5,1,0.95397,1
2013,-1,0,-1.0952,1
2013,0,0,-3.5316,1
2013,0,1,2.0937,-1
2013,-0.5,1,1.5451,1
2013,-1,0,-2.0853,1
2013,5,1,1.0405,1
2013,-1,0,-0.89391,-1
2013,-1.5,0,-0.89832,-1
2013,-0.5,0,-1.4399,1
2013,1,1,3.6229,-1
2013,-0.5,0,-2.0336,-1
2013,0.5,1,0.85357,-1
2013,1.5,1,2.2047,1
2013,1,1,0.98201,-1
2013,1,1,1.8458,1
2013,-0.5,0,-2.1435,-1
2013,0.5,0,-2.6809,-1
2013,-1,1,1.0685,-1
2013,0,1,2.2479,1
2013,-0.5,1,3.0492,1
2013,-1,0,-1.4644,1
2013,1,1,1.1142,-1
2013,0,1,1.7304,1
2013,-0.5,0,-0.80047,-1
2013,-5,0,-0.98872,1
2013,0.5,1,3.904,-1
2013,-0.5,0,-3.8623,1
2013,0,1,2.0617,1
2013,0.5,0,-0.82639,-1
2013,-0.5,1,1.8071,-1
2013,-1.5,0,-1.8669,1
2013,-1,1,1.1193,1
2013,0.5,0,-0.71707,1
2013,0,0,-1.7425,-1
2013,0,1,2.8295,-1
2013,0.5,1,1.2684,-1
2013,1.5,1,0.96817,1
2013,1,1,4.5827,1
2013,0,1,2.1036,-1
2013,0,1,0.8309,1
2013,-1.5,0,-1.1626,1
2013,0.5,1,1.0094,-1
