,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.4135650885,0.0604061630602,2.2977544322,2.3732527598,2.4122737862,2.45279468241,2.536152908,0.000359952817261
a_std,0.296986513427,0.0496014327537,0.213593092685,0.262128638274,0.29215482804,0.326239828361,0.408522130944,0.000307043645677
a_subj.2013,2.58989214267,0.12532627994,2.35715102811,2.5023864366,2.58611588595,2.67145054469,2.84716374345,0.000745611242775
a_subj.2015,2.46000028572,0.123649510297,2.23067885235,2.37407862936,2.4557770368,2.54142535698,2.71467475946,0.000785621159861
a_subj.2016,2.25346655196,0.108333070911,2.05142616745,2.17898367333,2.2500105968,2.32389657929,2.47586394757,0.000699111886515
a_subj.2017,2.62065592467,0.118496291152,2.39951526561,2.53901666186,2.61702682655,2.69810205338,2.86489429358,0.000769737157263
a_subj.2018,2.60819761746,0.125472911872,2.3739421464,2.52187159458,2.60403742809,2.68965162495,2.86577660527,0.000804323349186
a_subj.2019,2.56987391764,0.124819710486,2.33921317645,2.48324216976,2.5643458249,2.65107898074,2.82971233376,0.000669699777138
a_subj.2020,2.59874270237,0.141785659677,2.3298215582,2.5015092517,2.59534874037,2.69209291364,2.88557056663,0.000886443886807
a_subj.2021,2.78188231074,0.133396795535,2.53342747988,2.68995251637,2.77648528873,2.86772897824,3.05883466473,0.000718710502822
a_subj.2022,2.84331771398,0.159907571661,2.53960144912,2.73291317528,2.83869493748,2.94737196481,3.1688316996,0.00111661369901
a_subj.2024,2.38190423676,0.109224104264,2.1777616519,2.30685918838,2.37823966084,2.45361502197,2.60581047377,0.000635014945172
a_subj.2027,2.15606425549,0.0970030973751,1.97351377089,2.08940490814,2.15326913272,2.21960344555,2.35507715348,0.000545424998362
a_subj.2028,2.66872523442,0.130000731936,2.42956655926,2.5785683399,2.66334530074,2.75409194198,2.93902357423,0.000741376800828
a_subj.2029,2.3465605828,0.127149192236,2.10909463352,2.25705539218,2.34341847204,2.43153920192,2.60291210255,0.000783044419308
a_subj.2030,2.42368700353,0.131737745029,2.17290304733,2.33252621333,2.42082954384,2.51192350578,2.6894358001,0.000895420445582
a_subj.2031,2.04276435984,0.0995507751936,1.85912992872,1.97415184027,2.03790827312,2.10615088131,2.252155971,0.000696127755054
a_subj.2032,2.76247899611,0.151791755578,2.47554200158,2.65764429789,2.76006030032,2.86412546406,3.06676660275,0.000947041841222
a_subj.2033,1.80480678049,0.090230402635,1.63522092718,1.74242381427,1.80269367077,1.86513781959,1.98730246973,0.000542940775371
a_subj.2034,2.51396840538,0.128668934342,2.27532853924,2.42455721625,2.50983025997,2.59772086928,2.78038636447,0.000720996417263
a_subj.2035,2.15939717176,0.104422162876,1.96479936043,2.08735164733,2.15521846191,2.22806643683,2.37385296509,0.000600710096342
a_subj.2036,2.52288850697,0.114153427745,2.30843676434,2.44414754771,2.51913097603,2.59698319261,2.75682362729,0.000613896007058
a_subj.2038,2.1423198832,0.130661740565,1.91358599261,2.04870340502,2.13178796833,2.22783686532,2.41801350145,0.00105385817189
a_subj.2039,2.02222911289,0.106897338192,1.81995502216,1.94940917416,2.01880365871,2.09164496664,2.24045876703,0.00074678990266
a_subj.2040,2.65085096281,0.135836893333,2.4054721287,2.55613567228,2.64361353659,2.73724852231,2.93869437816,0.00100004641454
a_subj.2041,2.51267139088,0.110215907232,2.30786597045,2.43687890782,2.50911504141,2.58530175809,2.73809379431,0.000596396186392
a_subj.2042,2.59661489487,0.128957138194,2.35973088982,2.50732263603,2.59170876967,2.68062571506,2.86348055642,0.00074643771585
a_subj.2043,2.49536673424,0.109847908962,2.29128170045,2.41996302913,2.49136783319,2.566883778,2.72197678313,0.000581934325642
a_subj.2044,2.16992849225,0.111100752233,1.9540736748,2.09416684488,2.16996112891,2.24474980934,2.39265687244,0.000686280023397
a_subj.2045,2.28482906416,0.11228196232,2.07903119336,2.20718104008,2.2790994525,2.35625763418,2.5202970708,0.000710143751846
a_subj.2046,2.12796334669,0.0988435578147,1.94264937591,2.0598279423,2.12464970067,2.19233929933,2.3301452427,0.000553375536325
a_subj.2047,2.30266465955,0.109595335157,2.1046843751,2.22713028033,2.2968224119,2.37265351679,2.53358209789,0.000673896230556
v(-1.0.-5.0),-2.06947980064,0.203380353011,-2.47121560721,-2.20622395294,-2.0693606242,-1.93247150985,-1.67412819935,0.00234811390972
v(-1.0.-1.5),-2.06722675777,0.138666951308,-2.34264614897,-2.16027917575,-2.06570695422,-1.97282139881,-1.79882307378,0.00143089354
v(-1.0.-1.0),-1.40064821382,0.107703931711,-1.61245951706,-1.47293894889,-1.40035277347,-1.32809281993,-1.18983620766,0.000675550530343
v(-1.0.-0.5),-0.532820828366,0.0915767776675,-0.712226071542,-0.594382644183,-0.532681817812,-0.470998000033,-0.354170288372,0.000539184824723
v(-1.0.0.0),0.101213842084,0.0868972956823,-0.0684650088898,0.0428712519269,0.100999278924,0.159659838724,0.27131571905,0.000528638613827
v(-1.0.0.5),0.832737436119,0.0941396340821,0.648806278569,0.769472745445,0.832287789012,0.895793296563,1.01774563178,0.000527673589075
