,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.368639598959029,0.04680685878798399,2.2781959964085425,2.3365865383739459,2.3681843478642888,2.3991635442114827,2.46270219512733,0.00043516248757246038
a_std,0.23132487635037038,0.038463297566958189,0.16754817442707104,0.203806147859938,0.22810575452285781,0.2538068232190438,0.31630570387111934,0.00048737716812287765
a_subj.2013,2.4305274344930452,0.092839485074668507,2.2543141993167071,2.3658020723285462,2.4271075144491636,2.4929849890740869,2.6193878100665451,0.0011915016023243213
a_subj.2015,2.3187691873801755,0.098984020143115165,2.134087357897585,2.2508567862280189,2.3163276132461865,2.3841167503636065,2.5247721354322961,0.0013713573479293129
a_subj.2016,2.0989504424378929,0.086711197760405714,1.9341166356117965,2.0410880824481668,2.0965253825854759,2.1552718785794065,2.278253498423032,0.0010690849901290613
a_subj.2017,2.4696410999709331,0.0972749883347475,2.2855514727188995,2.4035505477614469,2.4666006748012581,2.5325641016939286,2.6689669159734564,0.0011698849656255291
a_subj.2018,2.3926984042588417,0.097458480292223676,2.2132798235974032,2.3266410336768519,2.3888009771066439,2.4569678809152062,2.5922583986793777,0.0011828653546896559
a_subj.2019,2.3947934282421381,0.097777172946348356,2.2123788177310808,2.3276290147835499,2.3919336125928159,2.4589480416669121,2.5936746012030616,0.0012933040463027946
a_subj.2020,2.579808637426066,0.099762240355057943,2.3939897718383123,2.510481329004596,2.5762804293873591,2.6457282763837093,2.7827474819967537,0.0010921458084177844
a_subj.2021,2.4670305879005592,0.095741718806037004,2.2885491817311507,2.4011600352928184,2.4637477697692454,2.5293395505942584,2.6649045919523249,0.0012007244649907341
a_subj.2022,2.5889608486905145,0.10656920225472112,2.3922944795246934,2.5160345285792638,2.5852041814979003,2.6593062394803746,2.8066806067533374,0.0012656964145740805
a_subj.2024,2.2539156167141989,0.091633269018588648,2.0837686967151599,2.1900647259142203,2.2509471448059521,2.3147364378131345,2.4422474480596534,0.0011180576376945265
a_subj.2027,2.087127573117836,0.082630320874029065,1.9320748084443899,2.0308905219106261,2.0842459099727004,2.1412182238172344,2.2568261457484073,0.0010065799449992536
a_subj.2028,2.4135548499977721,0.099099032218184682,2.2273650638645575,2.3447424685047995,2.4108165715611887,2.4784632993522298,2.6143683669114521,0.0011736180880689033
a_subj.2029,2.2439959815839026,0.087890428913885682,2.0761456523336381,2.1843115538575586,2.2418375135852981,2.3022264635063219,2.4221776685335987,0.00097349992352837678
a_subj.2030,2.4270565021212533,0.093771463991407747,2.2469128873195574,2.363154495579316,2.4258851481741575,2.490140990806931,2.608453788080566,0.0010182461849834702
a_subj.2031,2.0869140863121958,0.081644473614413224,1.935350545369152,2.030877776211061,2.0837722145304842,2.1405936133429342,2.2539107688994378,0.00088110212433141087
a_subj.2032,2.6548056287927642,0.10345927266425438,2.4608808954249777,2.5836920216171313,2.6515691027881116,2.7233836165414402,2.8632208481745227,0.0013401133615161625
a_subj.2033,1.7976447141580185,0.076614378357226787,1.6540033209399754,1.7442013382953441,1.7957789636308976,1.8475244460291438,1.9537101522363838,0.00087986914059423973
a_subj.2034,2.4863261104961625,0.10171286991154276,2.2952639309428506,2.4159381500940937,2.4847329485846652,2.5529457220528715,2.6954944026879284,0.0010117929631792452
a_subj.2035,2.5110865715830748,0.10168791470701428,2.3218143166975871,2.4426514566803417,2.5075476756745254,2.5758054099876819,2.7248959113784181,0.0010440403805654544
a_subj.2036,2.4392674020053895,0.093763556847337656,2.2617536405394398,2.3758466369987268,2.4360111077409767,2.5000849970295467,2.6314608911766362,0.0011191797727171755
a_subj.2038,2.3621107557546441,0.10332519757774801,2.1691070842902214,2.2893972409222232,2.3593702812873705,2.4304605480388259,2.5751121556204541,0.0012367355055128138
