,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.3710834625229151,0.047594488998546944,2.2778237109769188,2.3401912575347374,2.370072593919768,2.4019750190534208,2.4659653450257339,0.00053467899080605994
a_std,0.2334491719554726,0.039561068168183139,0.16826719347545083,0.20562490680908063,0.22886523067604098,0.25701317093933518,0.32238321270689319,0.00047445698664524131
a_subj.2013,2.4318465517164722,0.092376777815794148,2.2578615205404029,2.3681688020535576,2.4287315618343333,2.493218605812892,2.620772052963376,0.0011902177792141174
a_subj.2015,2.3231655475805408,0.099636397407914704,2.1379860646320044,2.2539746730062897,2.3189607963686707,2.3882564275203464,2.5238881947502039,0.0011967320799719115
a_subj.2016,2.1043938637992294,0.087368013841420303,1.9397825681066783,2.0458127220780735,2.1024071714880228,2.1602355583863808,2.2837628638488288,0.0010646463434555542
a_subj.2017,2.4712473373167225,0.098581522940636476,2.2832589341380474,2.4031425937986479,2.4686465003750047,2.5359766039934266,2.6725603969384824,0.0013278938210452276
a_subj.2018,2.3956045870474285,0.09628983116441063,2.2125942132203527,2.3304919140846696,2.3924890004785615,2.4581354454916244,2.5898821468754707,0.0011218148737140653
a_subj.2019,2.3989195281101767,0.097008540687313655,2.2177281882617708,2.3314085681532166,2.3958196585936848,2.4628575429894952,2.5983831568910634,0.0011198229928130565
a_subj.2020,2.588651093091292,0.10180549389401178,2.3990750480687697,2.5193948692433459,2.5847911408062285,2.6546437564757936,2.7955943607883182,0.0011641534310004985
a_subj.2021,2.4733612963156042,0.09677603109892928,2.2930334544963209,2.4070988447797927,2.4714788998280657,2.5360955625771209,2.6708124470227488,0.0012566537138331063
a_subj.2022,2.6024998842755305,0.10715535238451317,2.4060139311935553,2.5264682976553643,2.5982872953239511,2.6727915795704358,2.8220711640483787,0.0012605652361234712
a_subj.2024,2.2456377776876941,0.092031519861546215,2.0710364575040554,2.1830503348785699,2.2433005105351729,2.3071339057671691,2.4338763436757782,0.0011238142234584125
a_subj.2027,2.0820848609057911,0.082438398002769059,1.928205192760609,2.0263698256844922,2.0800086617746731,2.1358842300812788,2.2472912299443863,0.0010691169067324788
a_subj.2028,2.4183166153160083,0.099638606840888072,2.2318348001614465,2.348456485713335,2.4148887380286035,2.4842790268363908,2.6181507824292396,0.0012191691711013165
a_subj.2029,2.2507748233954894,0.088615550520454792,2.085366322175036,2.189775846811898,2.2490898291161345,2.3088849326098906,2.4287077237594126,0.00096230217237838875
a_subj.2030,2.4304049772149101,0.093587181340539102,2.2538329613684471,2.3664446776428569,2.4285980241949692,2.4923881789505682,2.6208887070492999,0.00097255037547685813
a_subj.2031,2.0937778383625387,0.082153936310047873,1.9353534905517198,2.0368731705076479,2.0929705567969306,2.148745644714384,2.2575287296085684,0.00094177441705868559
a_subj.2032,2.662978715372152,0.10279281814299863,2.4715930003559889,2.5924147889822096,2.6598336132314131,2.7300840799538162,2.8765512657263939,0.0013270613176140408
a_subj.2033,1.7981423994961332,0.077811376785428446,1.6529530336293699,1.7437844696634397,1.7970731280549133,1.8497253111346275,1.9548617138860871,0.00089043851543733931
