,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.3448089341535865,0.045115963626758869,2.2564489578874696,2.3150428651636741,2.3442721878911303,2.3742174014019906,2.4341449266175039,0.00042977437330778319
a_std,0.22532200713551703,0.037544409681436151,0.16060308489611475,0.19865758955764168,0.22173803904080092,0.248200049887214,0.30690550512120035,0.00043317364865995991
a_subj.2013,2.4248870678062424,0.092212320371883594,2.2539608253399033,2.360414831545139,2.42143505297387,2.4858904864926399,2.6169127259926048,0.0010537250354820205
a_subj.2015,2.3082444585092246,0.09901517835672291,2.1227922189534549,2.2406269868894011,2.3060219068452588,2.3729966763062418,2.5116244119529392,0.0013527503322628722
a_subj.2016,2.0975966042836092,0.087705944563386942,1.9331594225554594,2.0371049588035834,2.0951027865053486,2.1552200566600401,2.2751655993371256,0.001107972762217738
a_subj.2017,2.4615421209476001,0.097759027034489673,2.2779905624161438,2.3946170644254852,2.4583235494168192,2.525501251096165,2.6632085261088667,0.0010905922002178953
a_subj.2018,2.339438487090856,0.092671690424307146,2.1653162802092805,2.2750680971735489,2.3375245664764561,2.4011489938012192,2.5270032096423258,0.00086931988404754851
a_subj.2019,2.3896229451554749,0.096653559893176144,2.2073445405041041,2.3237021575300578,2.3878144322890722,2.45230790258148,2.5860998945694935,0.0010822771680900566
a_subj.2020,2.5394564895259264,0.09536486346591376,2.3599600569056811,2.4738125213118276,2.53658561607643,2.6020491473118041,2.7373203421783692,0.0010824886500952898
a_subj.2021,2.4484147821052793,0.094216713450913384,2.2733445108758459,2.3826569891873111,2.4452970392172149,2.5098181351151787,2.637237243643364,0.0011148609505292749
a_subj.2022,2.5836207754411413,0.10550240407784815,2.3866829805953289,2.5112092774532413,2.580361083989918,2.6534283623329937,2.7974644467573762,0.0013681848748676607
a_subj.2024,2.2398204711533367,0.091498435234925429,2.0663852252724841,2.1761204308875839,2.2373991876740149,2.3004824085647742,2.4252981731768144,0.001091848087732684
a_subj.2027,2.0744562401790905,0.083181100694728699,1.9179551074059127,2.0179385228327229,2.0720295119888714,2.1278262103796379,2.2424266614003527,0.0010491613817104992
a_subj.2028,2.4092100263660949,0.098299002146130549,2.2264211018550597,2.3420939112006209,2.4049089151860583,2.4728435204751018,2.6150744176086271,0.0011458435315119136
a_subj.2029,2.2421604111033289,0.087932320182124629,2.0771561916623784,2.1822374260868949,2.2396727339861227,2.2995490084290986,2.4245401765171084,0.0009200875343328811
a_subj.2030,2.4200892940452685,0.091690523377465916,2.251659425238715,2.3568152443979429,2.4173365857420319,2.4797281911935447,2.6089487706292571,0.001056236544919685
a_subj.2031,2.0912093823923068,0.081110502197746209,1.9388846274559111,2.0354796551719567,2.0896754375010009,2.1444752832875844,2.2591641065735697,0.00087549901130328065
a_subj.2032,2.6519439462482106,0.1036115500218997,2.4589239133889937,2.5809192819933644,2.6494985469875427,2.718987961193803,2.862693320537312,0.0011901598880257297
a_subj.2033,1.7981245077899717,0.077819983253550953,1.6535483438553364,1.7442719037072694,1.7952016691928625,1.8485288248044891,1.9571321804509108,0.00088386720738752467
a_subj.2034,2.3210630369863199,0.081258115620776977,2.1652258592716764,2.2653809379270502,2.3186259064221497,2.3749534620183552,2.4852901130613954,0.00089551518773000119
a_subj.2035,2.5051698174012751,0.10056254321515055,2.3155744819200872,2.4369176217429884,2.5028072138180715,2.5700974786560136,2.7123351296427805,0.0012217646345315941
a_subj.2036,2.3917290877509183,0.093462776178831364,2.2150559642358232,2.3277919333976111,2.3910385878959266,2.4529260256451311,2.5832082183713365,0.0010416696563038412
a_subj.2038,2.2334638828268218,0.088918524485944714,2.0652485432927934,2.1724334227754771,2.231278004920799,2.2913923002956706,2.4126330234215541,0.0010567711356111753
a_subj.2039,2.111185472879805,0.08250815496021599,1.9542205774784873,2.0542439019597083,2.1088705172743034,2.1654798932466846,2.2809549703613472,0.00087685689537396157
a_subj.2040,2.4998425326316576,0.097371029133920137,2.3150967396359268,2.4336185997076694,2.496743176143748,2.5636669833940919,2.700322234526725,0.0011543839016112027
a_subj.2041,2.3965470490601,0.092069437409876581,2.2216199782288992,2.3343878073268756,2.3949842955887934,2.4574611837115627,2.5854791778023092,0.0010538546428404997
a_subj.2042,2.4173731002599266,0.10012559531260082,2.2287112430659044,2.3493054846460377,2.4157470831984171,2.4830093267637983,2.6222594076670753,0.0013608765189578205
a_subj.2043,2.3599537934052037,0.089121875372591391,2.190369863595838,2.2978260841808962,2.356784992993767,2.4188181232472026,2.5426762177877946,0.0010471937859158613
a_subj.2044,2.2762458891752706,0.087125304930180822,2.1112356713594069,2.216893202758381,2.2737943632550399,2.3353377984519628,2.4538119145319053,0.0010133013705212949
a_subj.2045,2.2377495125218685,0.090229062719786618,2.0686291872012399,2.1757635412133594,2.2361107278295123,2.2969641079507763,2.4218378638606879,0.00096200661164203634
a_subj.2046,2.7686907833471683,0.10810476939282365,2.5650708137826652,2.6947389096826839,2.7658480568369743,2.8396637864089151,2.9907238601833779,0.0012414753883005915
a_subj.2047,2.3198680874479778,0.08368277614925293,2.1593655293456071,2.2643052901495682,2.3176535004491212,2.3752371447750278,2.4845411354502533,0.00096577770197684028
t,0.54194522971723313,0.043526283033619793,0.46354338067607126,0.51229197613348365,0.5393493622463954,0.5691723800504721,0.63459245205471193,0.00049847584287517858
t_std,0.23979302101329056,0.040117429410224004,0.17712259224440452,0.2112529171880522,0.23443106521678392,0.26197525380252157,0.33383719641680876,0.00053098668426151529
t_subj.2013,0.4925514409933392,0.021923548341070357,0.4443939715054197,0.47928626354014969,0.49467871153713761,0.50799267913174928,0.53031803461947391,0.00020700180451548172
t_subj.2015,0.56349168758905965,0.019889166986932109,0.51960368618653963,0.55132651174911484,0.56479068567330037,0.57750290631639178,0.59837862697080801,0.00024912444732863229
t_subj.2016,0.71884505706484236,0.018539206760335779,0.67772721402033431,0.7076955961402619,0.72036559193538074,0.73178155664043065,0.75052198196124886,0.00021539064314922041
t_subj.2017,0.59326742142206468,0.025262446700089706,0.5385294908192888,0.57723194739556083,0.59515695550006253,0.61108292953510579,0.63704638609794717,0.00027538344126426973
t_subj.2018,0.61535622770691489,0.02254120862643404,0.56700247512019231,0.60135035170680806,0.61692983742424012,0.63137562131453517,0.65446031842411823,0.00026234369980898545
t_subj.2019,0.57529562720493166,0.024222078974509492,0.52196268395989476,0.56030406323285686,0.57747852666258825,0.59231918924773752,0.61684666464972926,0.00027721313670834907
t_subj.2020,0.65223086143488329,0.022570980428418499,0.6027206813440662,0.63838227431389749,0.65430223343328331,0.66833291097170877,0.69008435804235913,0.00026199769012967718
t_subj.2021,0.53202065464898141,0.027018316422318844,0.47322547447416108,0.51470877470462451,0.5343873554838241,0.5514778639441974,0.57899096905807756,0.00029507219773220112
t_subj.2022,0.89217728087238513,0.022616211130949884,0.84262371803357883,0.87840239085209326,0.89406309317407451,0.90812244359391014,0.93038651213901036,0.00027342561245912269
t_subj.2024,0.58265828962234056,0.02228675201894029,0.53497349813019091,0.56847034926094953,0.58421274646799448,0.59848253354060499,0.62150898833125034,0.00027224120181796512
t_subj.2027,0.57499074270787953,0.018136490830222916,0.53543316776179484,0.56372268405906467,0.57660961670545807,0.58771694382640871,0.60630969857932238,0.00022876409887924088
t_subj.2028,0.53250105716989538,0.024153895581740269,0.48107126165407743,0.51703833921941666,0.53419319084553663,0.5497476983682813,0.57391816668925233,0.00031220846259118282
t_subj.2029,0.67571927371782459,0.018089546772466786,0.63599337031436287,0.664448349673042,0.67727627339384111,0.68859062400810245,0.70633436230981872,0.00021239794300821342
t_subj.2030,0.51395521653935883,0.017561696425485725,0.47402726188032018,0.50350422763644509,0.51601257377331655,0.52644504892696808,0.54255865549197102,0.00022414881875183548
t_subj.2031,0.50877148069035982,0.013961167732207536,0.47731737289964593,0.50016648649877404,0.51030444891686288,0.51868851697974105,0.53168148386246905,0.00016604974482906006
t_subj.2032,0.51367652761329463,0.021359423586603265,0.46662045747136843,0.50063264929697626,0.51552466328549973,0.52883912054670223,0.55000342794934676,0.00025489097001505956
t_subj.2033,0.48663085402189343,0.011942593719230598,0.46013208884143936,0.47930494454484923,0.48768771754984658,0.4951981777619206,0.5066694730780803,0.00014284913464561385
t_subj.2034,0.41066238111615588,0.018380563597623332,0.36939328672940064,0.39957244406216963,0.4126076263764325,0.42393492656502801,0.44069972696294696,0.00020360367259422018
t_subj.2035,0.53995787039544851,0.017602766707442791,0.50052848851455944,0.52953627699107686,0.54177548127143804,0.5522230728001557,0.56937124735906686,0.00020476814955386666
t_subj.2036,0.59476654139530105,0.020831508812821146,0.54900779066702909,0.58175065230407763,0.59652074897382046,0.60931839320445791,0.63053872940357714,0.00025402359775071647
t_subj.2038,0.34850833547730092,0.015017963649416691,0.31456895444441868,0.33959935901606597,0.35016945010997202,0.35904735520687631,0.37323161134982313,0.0001639385790534694
t_subj.2039,0.46822255796703355,0.015651737761368148,0.43365269055441263,0.45859189694541103,0.4696660118079507,0.47936680081389654,0.49449318372273771,0.00018970998094831773
t_subj.2040,0.59728916567215296,0.019981473251887726,0.55312659421626054,0.58518334319080323,0.59928033454878715,0.61152470590232999,0.63127724722462575,0.00026787050731875837
t_subj.2041,0.64198063693516183,0.022777759763757888,0.59210799855900031,0.62796327296937426,0.64379237656701571,0.65796120001136038,0.68133385467861762,0.00026596824829749107
